Designator,Mid X,Mid Y,Rotation,Layer
S2,58.49,-73.395,270.0,top
S3,52.0,-98.75,270.0,top
S4,85.85,-110.325,90.0,top
S5,55.0,-56.0,0.0,top
SW1,102.10528,-54.36,180.0,top
U1,94.5,-79.0,180.0,top
U10,41.950001,-119.80175,0.0,top
U11,49.25,-115.75,0.0,top
U12,107.99948,-37.0,315.0,top
U13,69.5,-53.0,0.0,top
U14,76.325,-78.869999,180.0,top
U15,70.1,-104.33,180.0,top
U16,39.5964,-43.973554,180.0,top
U17,49.000001,-108.175901,0.0,top
U18,89.1063,-26.749811,90.0,top
U2,66.2,-41.0,270.0,top
U3,26.23,-40.343554,135.0,top
U4,38.25,-77.0,0.0,top
U5,69.800001,-26.8,0.0,top
U6,37.0,-66.0,270.0,top
U7,57.5,-128.25,180.0,top
U8,57.75,-123.75,180.0,top
U9,26.44825,-119.799999,0.0,top
X1,42.75,-116.0,180.0,top
Y1,57.75,-118.25,270.0,top
