Designator,Mid X,Mid Y,Rotation,Layer
R2,134.05,-94.68,90.0,top
R20,110.5,-124.76,270.0,top
R21,150.75,-55.25,90.0,top
R22,153.25,-75.25,0.0,top
R23,144.0,-58.25,90.0,top
R24,163.0,-55.0,180.0,top
R25,163.0,-53.25,180.0,top
R26,103.75,-52.25,0.0,bottom
R27,65.171,-110.2346,270.0,bottom
R28,66.421,-110.224601,90.0,bottom
R29,99.0,-72.075,90.0,top
R3,87.54,-87.84,180.0,top
R30,108.0,-75.5,180.0,bottom
R31,97.25,-72.075,270.0,top
R32,102.5,-72.075,90.0,top
R33,100.75,-72.075,270.0,top
R34,120.5,-72.5,180.0,bottom
R35,67.671,-110.224601,90.0,bottom
R36,68.921,-110.224601,90.0,bottom
R37,120.5,-73.75,180.0,bottom
R38,120.5,-75.0,180.0,bottom
R39,91.25,-67.009999,270.0,bottom
R4,56.12,-43.528555,180.0,top
R40,79.0,-65.490001,270.0,top
R41,53.65,-80.4,0.0,top
R42,126.0,-130.990001,270.0,bottom
R43,51.260001,-53.253554,180.0,top
R44,65.27,-52.353554,180.0,top
R45,70.72,-54.803554,180.0,top
R46,58.060001,-53.253554,0.0,top
R47,60.079999,-53.253554,0.0,top
R48,68.941,-113.9938,90.0,bottom
R49,67.691,-113.9938,90.0,bottom
R5,142.79,-115.65,90.0,top
R50,66.441,-113.9938,90.0,bottom
R51,96.5,-34.25,0.0,bottom
R52,99.0,-31.845,180.0,top
R53,95.475,-31.845,180.0,top
R54,105.4,-34.775,0.0,top
R55,58.07,-54.453554,0.0,top
R56,65.191,-114.003799,270.0,bottom
R57,68.9664,-117.488601,90.0,bottom
R58,67.7164,-117.488601,90.0,bottom
R59,104.315,-33.325,0.0,top
R6,143.89,-115.65,90.0,top
R60,124.25,-42.825,90.0,top
R61,66.4664,-117.488601,90.0,bottom
R62,108.7,-35.05,90.0,top
R63,108.2,-32.475,0.0,top
R64,60.08,-54.453554,0.0,top
R65,65.2164,-117.488601,270.0,bottom
R66,102.25,-49.5,0.0,bottom
R67,154.5,-51.75,0.0,bottom
R68,151.51,-49.5,0.0,top
R69,150.509999,-50.75,0.0,top
R7,139.69,-115.65,90.0,top
R70,96.0,-131.009999,270.0,bottom
R71,98.5,-131.009999,270.0,bottom
R72,101.0,-131.0,270.0,bottom
R73,103.5,-130.990001,270.0,bottom
R74,106.0,-131.009999,270.0,bottom
R75,108.5,-131.0,270.0,bottom
R76,111.0,-131.009999,270.0,bottom
R77,113.5,-130.990001,270.0,bottom
R78,116.0,-130.990001,270.0,bottom
R79,118.5,-130.990001,270.0,bottom
R8,140.79,-115.65,90.0,top
R80,121.0,-130.990001,270.0,bottom
R81,123.5,-130.990001,270.0,bottom
R83,128.5,-131.0,270.0,bottom
R84,131.0,-131.0,270.0,bottom
R85,133.5,-130.990001,270.0,bottom
R86,94.75,-131.009999,270.0,bottom
R87,97.25,-131.009999,270.0,bottom
R88,99.75,-131.009999,270.0,bottom
R89,102.25,-131.0,270.0,bottom
R9,131.0,-112.75,0.0,top
R90,104.75,-130.990001,270.0,bottom
R91,107.25,-130.990001,270.0,bottom
R92,109.75,-130.990001,270.0,bottom
R93,112.25,-131.0,270.0,bottom
R94,114.75,-130.990001,270.0,bottom
R95,117.25,-130.990001,270.0,bottom
R96,119.75,-130.990001,270.0,bottom
R97,122.25,-130.990001,270.0,bottom
R98,124.75,-130.990001,270.0,bottom
R99,127.25,-130.990001,270.0,bottom
S1,128.525,-95.78,180.0,top
S2,89.64,-82.275,270.0,top
S3,92.068,-98.974,180.0,top
S4,119.0,-121.0,90.0,top
S5,145.5,-74.25,90.0,top
S6,84.5,-67.6,0.0,top
S7,76.6,-58.4,90.0,top
U1,136.0,-78.405,180.0,top
U11,78.124999,-120.124999,180.0,top
U12,150.75,-63.0,0.0,top
U13,85.75,-126.25,180.0,top
U14,107.475,-87.749999,180.0,top
U15,101.25,-113.21,180.0,top
U16,70.7464,-52.853554,180.0,top
U18,120.2563,-35.629811,90.0,top
U19,100.5,-62.0,0.0,top
U2,96.0835,-51.6,180.0,top
U20,146.9,-50.75,270.0,top
U21,98.4758,-135.3566,90.0,bottom
U22,103.505,-135.3566,90.0,bottom
U23,108.5088,-135.3566,90.0,bottom
U24,97.1604,-135.3514,90.0,top
U25,102.2604,-135.3514,90.0,top
U26,107.3604,-135.3514,90.0,top
U27,112.2934,-135.3312,90.0,top
U28,117.348,-135.3312,90.0,top
U29,122.4026,-135.3312,90.0,top
U3,57.38,-49.223554,135.0,top
U30,127.2794,-135.3312,90.0,top
U31,132.2578,-135.3312,90.0,top
U32,113.5126,-135.3312,90.0,bottom
U33,118.491,-135.3312,90.0,bottom
U34,123.4948,-135.3312,90.0,bottom
U35,128.4732,-135.3566,90.0,bottom
U36,133.5024,-135.3312,90.0,bottom
U37,61.3156,-115.4176,0.0,bottom
U38,61.3664,-110.8202,0.0,bottom
U39,62.9666,-102.489,0.0,bottom
U4,56.75,-84.700001,0.0,top
U40,63.25,-74.25,0.0,top
U5,100.750001,-36.525,0.0,top
U6,54.999999,-73.9045,270.0,top
X2,153.25,-71.75,315.0,top
X3,72.25,-125.75,0.0,top
X4,81.0,-131.75,0.0,top
